step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_ratio,selector_budget,selector_entropy
100200,0.05319010931998491,,1.1491272412394435e-06,5.745636206197217e-07,5.0,0.02,0.05066749453544617,0.002494935062713921,3.8226196465984685e-05
100400,0.04824087303131819,,1.1363793320239162e-06,5.681896660119581e-07,5.0,0.02,0.0933733731508255,0.0013444433743643458,0.00041078883077716455
100600,0.0419301176443696,,1.123748849899154e-06,5.61874424949577e-07,5.0,0.02,0.07619657088071108,0.0009114547337958356,9.892576736092451e-05
