step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
14400,0.07708092778921127,,9.296057508986221e-05,,5.0,0.02,0.5,,,,
14600,0.06323147565126419,,9.274638086112025e-05,,5.0,0.02,0.5,,,,
14800,0.07239747047424316,,9.252924553606687e-05,,5.0,0.02,0.5,,,,
15000,0.08123577386140823,0.05841182544827461,9.230918498236244e-05,,5.0,0.02,0.5,,,,
15200,0.08095506578683853,,9.208621528143513e-05,,5.0,0.02,0.5,,,,
15400,0.05266573280096054,,9.186035272730572e-05,,5.0,0.02,0.5,,,,
15600,0.07043157517910004,,9.163161382539679e-05,,5.0,0.02,0.5,,,,
15800,0.07811740040779114,,9.140001529132665e-05,,5.0,0.02,0.5,,,,
16000,0.0691680833697319,0.06552630588412285,9.116557404968779e-05,,5.0,0.02,0.5,,,,
16200,0.06443177908658981,,9.092830723281e-05,,5.0,0.02,0.5,,,,
16400,0.08225896954536438,,9.068823217950851e-05,,5.0,0.02,0.5,,,,
16600,0.11244551092386246,,9.044536643381678e-05,,5.0,0.02,0.5,,,,
16800,0.04368364065885544,,9.019972774370455e-05,,5.0,0.02,0.5,,,,
17000,0.05701892822980881,0.062094734609127046,8.995133405978078e-05,,5.0,0.02,0.5,,,,
17200,0.08028426766395569,,8.97002035339819e-05,,5.0,0.02,0.5,,,,
17400,0.056854844093322754,,8.944635451824538e-05,,5.0,0.02,0.5,,,,
17600,0.07067769765853882,,8.918980556316849e-05,,5.0,0.02,0.5,,,,
17800,0.0753164142370224,,8.893057541665275e-05,,5.0,0.02,0.5,,,,
18000,0.06035010144114494,0.051553023234009746,8.866868302253389e-05,,5.0,0.02,0.5,,,,
18200,0.07446492463350296,,8.840414751919749e-05,,5.0,0.02,0.5,,,,
18400,0.05981471389532089,,8.813698823818035e-05,,5.0,0.02,0.5,,,,
18600,0.05251477658748627,,8.786722470275784e-05,,5.0,0.02,0.5,,,,
18800,0.04652050510048866,,8.759487662651716e-05,,5.0,0.02,0.5,,,,
19000,0.05594416707754135,0.05234638676047325,8.731996391191675e-05,,5.0,0.02,0.5,,,,
19200,0.04831957817077637,,8.704250664883188e-05,,5.0,0.02,0.5,,,,
19400,0.09924883395433426,,8.676252511308648e-05,,5.0,0.02,0.5,,,,
19600,0.07403218001127243,,8.648003976497152e-05,,5.0,0.02,0.5,,,,
19800,0.07853096723556519,,8.619507124774975e-05,,5.0,0.02,0.5,,,,
20000,0.07982471585273743,0.051030576974153516,8.590764038614718e-05,,5.0,0.02,0.5,,,,
20200,0.07268788665533066,,8.561776818483131e-05,,5.0,0.02,0.5,,,,
20400,0.06357958912849426,,8.532547582687608e-05,,5.0,0.02,0.5,,,,
20600,0.05434169992804527,,8.503078467221391e-05,,5.0,0.02,0.5,,,,
20800,0.04935036599636078,,8.473371625607479e-05,,5.0,0.02,0.5,,,,
21000,0.06102842092514038,0.06278284825384617,8.443429228741255e-05,,5.0,0.02,0.5,,,,
21200,0.03982033580541611,,8.413253464731836e-05,,5.0,0.02,0.5,,,,
21400,0.06051601469516754,,8.382846538742178e-05,,5.0,0.02,0.5,,,,
21600,0.09261325001716614,,8.352210672827931e-05,,5.0,0.02,0.5,,,,
21800,0.07750525325536728,,8.321348105775048e-05,,5.0,0.02,0.5,,,,
22000,0.053415875881910324,0.051202240958809854,8.290261092936192e-05,,5.0,0.02,0.5,,,,
22200,0.0706581100821495,,8.258951906065908e-05,,5.0,0.02,0.5,,,,
22400,0.059022314846515656,,8.227422833154621e-05,,5.0,0.02,0.5,,,,
22600,0.06251948326826096,,8.195676178261434e-05,,5.0,0.02,0.5,,,,
22800,0.05901336669921875,,8.163714261345742e-05,,5.0,0.02,0.5,,,,
23000,0.050454944372177124,0.051147691905498505,8.131539418097713e-05,,5.0,0.02,0.5,,,,
23200,0.07349035143852234,,8.09915399976759e-05,,5.0,0.02,0.5,,,,
23400,0.057465601712465286,,8.066560372993874e-05,,5.0,0.02,0.5,,,,
23600,0.06584082543849945,,8.033760919630367e-05,,5.0,0.02,0.5,,,,
23800,0.037312623113393784,,8.00075803657213e-05,,5.0,0.02,0.5,,,,
24000,0.05843880772590637,0.054479170218110086,7.967554135580307e-05,,5.0,0.02,0.5,,,,
24200,0.0635138750076294,,7.934151643105888e-05,,5.0,0.02,0.5,,,,
24400,0.04969394952058792,,7.900553000112394e-05,,5.0,0.02,0.5,,,,
24600,0.07925552874803543,,7.866760661897487e-05,,5.0,0.02,0.5,,,,
24800,0.03621259331703186,,7.832777097913558e-05,,5.0,0.02,0.5,,,,
25000,0.0432552695274353,0.048975085094571116,7.798604791587249e-05,,5.0,0.02,0.5,,,,
25200,0.06491991877555847,,7.764246240137991e-05,,5.0,0.02,0.5,,,,
25400,0.06310995668172836,,7.729703954395495e-05,,5.0,0.02,0.5,,,,
25600,0.07515165209770203,,7.694980458616275e-05,,5.0,0.02,0.5,,,,
25800,0.04357264190912247,,7.660078290299191e-05,,5.0,0.02,0.5,,,,
26000,0.05019242316484451,0.05393024068325758,7.625e-05,,5.0,0.02,0.5,,,,
26200,0.05886669456958771,,7.58974815114498e-05,,5.0,0.02,0.5,,,,
26400,0.07427968829870224,,7.554325319843592e-05,,5.0,0.02,0.5,,,,
26600,0.04947249963879585,,7.518734094700236e-05,,5.0,0.02,0.5,,,,
26800,0.11049924790859222,,7.482977076625075e-05,,5.0,0.02,0.5,,,,
27000,0.044686201959848404,0.03997807539999485,7.447056878643967e-05,,5.0,0.02,0.5,,,,
27200,0.058485548943281174,,7.41097612570752e-05,,5.0,0.02,0.5,,,,
27400,0.04775312542915344,,7.374737454499255e-05,,5.0,0.02,0.5,,,,
27600,0.06384260952472687,,7.338343513242941e-05,,5.0,0.02,0.5,,,,
27800,0.05767175555229187,,7.301796961509052e-05,,5.0,0.02,0.5,,,,
28000,0.037356454879045486,0.04359360560774803,7.265100470020428e-05,,5.0,0.02,0.5,,,,
28200,0.049013279378414154,,7.228256720457096e-05,,5.0,0.02,0.5,,,,
28400,0.05305498093366623,,7.191268405260307e-05,,5.0,0.02,0.5,,,,
28600,0.05150551348924637,,7.154138227435772e-05,,5.0,0.02,0.5,,,,
28800,0.043639667332172394,,7.116868900356138e-05,,5.0,0.02,0.5,,,,
29000,0.066473588347435,0.05335010811686516,7.079463147562706e-05,,5.0,0.02,0.5,,,,
29200,0.05187494307756424,,7.041923702566398e-05,,5.0,0.02,0.5,,,,
29400,0.03835003450512886,,7.004253308647994e-05,,5.0,0.02,0.5,,,,
29600,0.051187120378017426,,6.966454718657668e-05,,5.0,0.02,0.5,,,,
29800,0.055040448904037476,,6.928530694813822e-05,,5.0,0.02,0.5,,,,
30000,0.035108860582113266,0.04630694650113583,6.890484008501211e-05,,5.0,0.02,0.5,,,,
30200,0.04456556588411331,,6.852317440068444e-05,,5.0,0.02,0.5,,,,
30400,0.03325219079852104,,6.814033778624778e-05,,5.0,0.02,0.5,,,,
30600,0.050046660006046295,,6.775635821836317e-05,,5.0,0.02,0.5,,,,
30800,0.0527547188103199,,6.737126375721556e-05,,5.0,0.02,0.5,,,,
31000,0.060202863067388535,0.044087615050375464,6.698508254446331e-05,,5.0,0.02,0.5,,,,
31200,0.031182821840047836,,6.659784280118156e-05,,5.0,0.02,0.5,,,,
31400,0.07956181466579437,,6.620957282580007e-05,,5.0,0.02,0.5,,,,
31600,0.046082254499197006,,6.582030099203513e-05,,5.0,0.02,0.5,,,,
31800,0.0790066123008728,,6.543005574681613e-05,,5.0,0.02,0.5,,,,
32000,0.043442100286483765,0.04462357237935066,6.503886560820672e-05,,5.0,0.02,0.5,,,,
32200,0.04244014248251915,,6.464675916332081e-05,,5.0,0.02,0.5,,,,
32400,0.08010734617710114,,6.425376506623344e-05,,5.0,0.02,0.5,,,,
32600,0.05208510905504227,,6.385991203588694e-05,,5.0,0.02,0.5,,,,
32800,0.06548990309238434,,6.346522885399209e-05,,5.0,0.02,0.5,,,,
33000,0.05239836499094963,0.04248205944895744,6.306974436292494e-05,,5.0,0.02,0.5,,,,
33200,0.042082250118255615,,6.267348746361899e-05,,5.0,0.02,0.5,,,,
33400,0.0368654802441597,,6.227648711345329e-05,,5.0,0.02,0.5,,,,
33600,0.053527988493442535,,6.18787723241362e-05,,5.0,0.02,0.5,,,,
33800,0.06409018486738205,,6.148037215958542e-05,,5.0,0.02,0.5,,,,
34000,0.0420401468873024,0.042372076958417895,6.108131573380396e-05,,5.0,0.02,0.5,,,,
34200,0.035900913178920746,,6.068163220875266e-05,,5.0,0.02,0.5,,,,
34400,0.04934074729681015,,6.028135079221905e-05,,5.0,0.02,0.5,,,,
34600,0.0404493473470211,,5.988050073568294e-05,,5.0,0.02,0.5,,,,
34800,0.03855159878730774,,5.947911133217886e-05,,5.0,0.02,0.5,,,,
35000,0.05453180521726608,0.03630407452583313,5.9077211914155274e-05,,5.0,0.02,0.5,,,,
35200,0.04371805489063263,,5.8674831851331166e-05,,5.0,0.02,0.5,,,,
35400,0.06042510271072388,,5.827200054854978e-05,,5.0,0.02,0.5,,,,
35600,0.04639466479420662,,5.786874744362964e-05,,5.0,0.02,0.5,,,,
35800,0.09309187531471252,,5.746510200521355e-05,,5.0,0.02,0.5,,,,
36000,0.04591134935617447,0.045095087960362434,5.706109373061489e-05,,5.0,0.02,0.5,,,,
36200,0.037820965051651,,5.665675214366217e-05,,5.0,0.02,0.5,,,,
36400,0.05920525640249252,,5.625210679254146e-05,,5.0,0.02,0.5,,,,
36600,0.04010014981031418,,5.584718724763707e-05,,5.0,0.02,0.5,,,,
36800,0.030805379152297974,,5.544202309937066e-05,,5.0,0.02,0.5,,,,
37000,0.04421622306108475,0.04708247985690832,5.5036643956038835e-05,,5.0,0.02,0.5,,,,
37200,0.05900048464536667,,5.4631079441649466e-05,,5.0,0.02,0.5,,,,
37400,0.04401048272848129,,5.4225359193756834e-05,,5.0,0.02,0.5,,,,
37600,0.027696292847394943,,5.38195128612958e-05,,5.0,0.02,0.5,,,,
37800,0.05167042464017868,,5.3413570102415144e-05,,5.0,0.02,0.5,,,,
38000,0.04334534704685211,0.04028156213462353,5.3007560582310236e-05,,5.0,0.02,0.5,,,,
38200,0.049128249287605286,,5.260151397105513e-05,,5.0,0.02,0.5,,,,
38400,0.042430225759744644,,5.219545994143448e-05,,5.0,0.02,0.5,,,,
38600,0.05096902698278427,,5.1789428166774986e-05,,5.0,0.02,0.5,,,,
38800,0.023724831640720367,,5.1383448318777026e-05,,5.0,0.02,0.5,,,,
39000,0.03508804738521576,0.03866695240139961,5.097755006534638e-05,,5.0,0.02,0.5,,,,
39200,0.058041736483573914,,5.057176306842604e-05,,5.0,0.02,0.5,,,,
39400,0.044321317225694656,,5.016611698182869e-05,,5.0,0.02,0.5,,,,
39600,0.04736790433526039,,4.976064144906972e-05,,5.0,0.02,0.5,,,,
39800,0.05852372944355011,,4.935536610120085e-05,,5.0,0.02,0.5,,,,
40000,0.046104758977890015,0.037395324744284156,4.8950320554644844e-05,,5.0,0.02,0.5,,,,
40200,0.031919222325086594,,4.854553440903126e-05,,5.0,0.02,0.5,,,,
40400,0.05615183711051941,,4.8141037245033255e-05,,5.0,0.02,0.5,,,,
40600,0.024084648117423058,,4.773685862220607e-05,,5.0,0.02,0.5,,,,
40800,0.05181267112493515,,4.733302807682679e-05,,5.0,0.02,0.5,,,,
41000,0.06602104008197784,0.03969056010246277,4.692957511973592e-05,,5.0,0.02,0.5,,,,
41200,0.042818401008844376,,4.6526529234180875e-05,,5.0,0.02,0.5,,,,
41400,0.039599187672138214,,4.612391987366138e-05,,5.0,0.02,0.5,,,,
41600,0.05673322454094887,,4.572177645977705e-05,,5.0,0.02,0.5,,,,
41800,0.03787030652165413,,4.532012838007748e-05,,5.0,0.02,0.5,,,,
42000,0.046530477702617645,0.04790229480713606,4.49190049859145e-05,,5.0,0.02,0.5,,,,
42200,0.035989902913570404,,4.451843559029735e-05,,5.0,0.02,0.5,,,,
42400,0.04274710267782211,,4.411844946575063e-05,,5.0,0.02,0.5,,,,
42600,0.046877697110176086,,4.371907584217498e-05,,5.0,0.02,0.5,,,,
42800,0.031671639531850815,,4.332034390471123e-05,,5.0,0.02,0.5,,,,
43000,0.05924978107213974,0.039635682851076125,4.292228279160743e-05,,5.0,0.02,0.5,,,,
43200,0.05477137118577957,,4.252492159208966e-05,,5.0,0.02,0.5,,,,
43400,0.03249600529670715,,4.212828934423622e-05,,5.0,0.02,0.5,,,,
43600,0.037365201860666275,,4.173241503285559e-05,,5.0,0.02,0.5,,,,
43800,0.048600174486637115,,4.133732758736828e-05,,5.0,0.02,0.5,,,,
44000,0.06343113631010056,0.03907532673329115,4.094305587969284e-05,,5.0,0.02,0.5,,,,
44200,0.03878489509224892,,4.0549628722135844e-05,,5.0,0.02,0.5,,,,
44400,0.03580218181014061,,4.015707486528649e-05,,5.0,0.02,0.5,,,,
44600,0.04295766353607178,,3.9765422995915506e-05,,5.0,0.02,0.5,,,,
44800,0.059148043394088745,,3.9374701734878775e-05,,5.0,0.02,0.5,,,,
45000,0.04290635511279106,0.03445096425712109,3.898493963502596e-05,,5.0,0.02,0.5,,,,
45200,0.027389418333768845,,3.859616517911374e-05,,5.0,0.02,0.5,,,,
45400,0.04633716866374016,,3.820840677772446e-05,,5.0,0.02,0.5,,,,
45600,0.027929773554205894,,3.782169276719e-05,,5.0,0.02,0.5,,,,
45800,0.02656853199005127,,3.743605140752095e-05,,5.0,0.02,0.5,,,,
46000,0.03823958709836006,0.03961770925670862,3.705151088034152e-05,,5.0,0.02,0.5,,,,
46200,0.02726314216852188,,3.666809928683002e-05,,5.0,0.02,0.5,,,,
46400,0.029305722564458847,,3.62858446456654e-05,,5.0,0.02,0.5,,,,
46600,0.058311328291893005,,3.590477489097965e-05,,5.0,0.02,0.5,,,,
46800,0.0330178439617157,,3.552491787031647e-05,,5.0,0.02,0.5,,,,
47000,0.05281272530555725,0.04127619527280331,3.514630134259623e-05,,5.0,0.02,0.5,,,,
47200,0.03242768719792366,,3.476895297608751e-05,,5.0,0.02,0.5,,,,
47400,0.05071086436510086,,3.4392900346385024e-05,,5.0,0.02,0.5,,,,
47600,0.04692426696419716,,3.401817093439461e-05,,5.0,0.02,0.5,,,,
47800,0.043787650763988495,,3.3644792124324926e-05,,5.0,0.02,0.5,,,,
48000,0.04397137090563774,0.037389153800904754,3.327279120168629e-05,,5.0,0.02,0.5,,,,
48200,0.03676474466919899,,3.29021953512968e-05,,5.0,0.02,0.5,,,,
48400,0.024177052080631256,,3.253303165529564e-05,,5.0,0.02,0.5,,,,
48600,0.0399024523794651,,3.216532709116405e-05,,5.0,0.02,0.5,,,,
48800,0.04652145132422447,,3.1799108529753853e-05,,5.0,0.02,0.5,,,,
49000,0.04576981067657471,0.041314137168228626,3.143440273332386e-05,,5.0,0.02,0.5,,,,
49200,0.03782331198453903,,3.10712363535841e-05,,5.0,0.02,0.5,,,,
49400,0.01951679028570652,,3.0709635929748246e-05,,5.0,0.02,0.5,,,,
49600,0.06134653463959694,,3.0349627886594067e-05,,5.0,0.02,0.5,,,,
49800,0.03028433583676815,,2.9991238532532567e-05,,5.0,0.02,0.5,,,,
50000,0.03450799360871315,0.038509778864681724,2.963449405768533e-05,,5.0,0.02,0.5,,,,
50200,0.044209450483322144,,2.9279420531970553e-05,,5.0,0.02,0.5,,,,
50400,0.042857684195041656,,2.8926043903198135e-05,,5.0,0.02,0.5,,,,
50600,0.04757983610033989,,2.8574389995173208e-05,,5.0,0.02,0.5,,,,
50800,0.036113061010837555,,2.8224484505809286e-05,,5.0,0.02,0.5,,,,
51000,0.039519622921943665,0.03829529993236065,2.787635300525006e-05,,5.0,0.02,0.5,,,,
51200,0.029718004167079926,,2.7530020934001022e-05,,5.0,0.02,0.5,,,,
51400,0.035181622952222824,,2.718551360107024e-05,,5.0,0.02,0.5,,,,
51600,0.028327621519565582,,2.684285618211881e-05,,5.0,0.02,0.5,,,,
51800,0.031816866248846054,,2.650207371762116e-05,,5.0,0.02,0.5,,,,
52000,0.06739035248756409,0.038415666110813616,2.6163191111035163e-05,,5.0,0.02,0.5,,,,
52200,0.047171443700790405,,2.5826233126982196e-05,,5.0,0.02,0.5,,,,
52400,0.03424258157610893,,2.549122438943746e-05,,5.0,0.02,0.5,,,,
52600,0.02565499022603035,,2.5158189379930512e-05,,5.0,0.02,0.5,,,,
52800,0.035475846379995346,,2.4827152435756185e-05,,5.0,0.02,0.5,,,,
53000,0.025852136313915253,0.041223020479083064,2.4498137748196165e-05,,5.0,0.02,0.5,,,,
53200,0.05265090614557266,,2.4171169360751093e-05,,5.0,0.02,0.5,,,,
53400,0.039899714291095734,,2.3846271167383515e-05,,5.0,0.02,0.5,,,,
53600,0.026398558169603348,,2.352346691077191e-05,,5.0,0.02,0.5,,,,
53800,0.031993575394153595,,2.3202780180575413e-05,,5.0,0.02,0.5,,,,
54000,0.043952010571956635,0.0384401211515069,2.288423441171016e-05,,5.0,0.02,0.5,,,,
54200,0.035147033631801605,,2.2567852882636625e-05,,5.0,0.02,0.5,,,,
54400,0.05056994408369064,,2.2253658713658494e-05,,5.0,0.02,0.5,,,,
54600,0.038114964962005615,,2.194167486523314e-05,,5.0,0.02,0.5,,,,
54800,0.029776539653539658,,2.1631924136293664e-05,,5.0,0.02,0.5,,,,
55000,0.0435541570186615,0.03997919708490372,2.1324429162582887e-05,,5.0,0.02,0.5,,,,
55200,0.05814358592033386,,2.101921241499916e-05,,5.0,0.02,0.5,,,,
55400,0.035472579300403595,,2.071629619795425e-05,,5.0,0.02,0.5,,,,
55600,0.024427948519587517,,2.041570264774334e-05,,5.0,0.02,0.5,,,,
55800,0.03604281321167946,,2.0117453730927532e-05,,5.0,0.02,0.5,,,,
56000,0.029998574405908585,0.0356998709961772,1.982157124272837e-05,,5.0,0.02,0.5,,,,
56200,0.032880693674087524,,1.9528076805435276e-05,,5.0,0.02,0.5,,,,
56400,0.03288000077009201,,1.9236991866825405e-05,,5.0,0.02,0.5,,,,
56600,0.028926532715559006,,1.8948337698596204e-05,,5.0,0.02,0.5,,,,
56800,0.04312269017100334,,1.866213539481113e-05,,5.0,0.02,0.5,,,,
57000,0.04606267437338829,0.03215332180261612,1.8378405870357945e-05,,5.0,0.02,0.5,,,,
57200,0.04018021374940872,,1.8097169859420454e-05,,5.0,0.02,0.5,,,,
57400,0.045970555394887924,,1.781844791396325e-05,,5.0,0.02,0.5,,,,
57600,0.02363753505051136,,1.7542260402229838e-05,,5.0,0.02,0.5,,,,
57800,0.03372552990913391,,1.7268627507254208e-05,,5.0,0.02,0.5,,,,
