step,total_loss,val_loss,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.029527058824896812,,6.666666666666667e-06,0.044444444444444446,0.00017777777777777779,0.5,0.29177984595298767,0.00842353980988264,0.4828961193561554,0.05813366174697876
400,0.022061362862586975,,1.3333333333333333e-05,0.08888888888888889,0.00035555555555555557,0.5,0.38011419773101807,0.03244112432003021,0.43080729246139526,0.038049060851335526
600,0.023563288152217865,,2e-05,0.13333333333333333,0.0005333333333333334,0.5,0.4007493555545807,0.04030030220746994,0.45692846179008484,0.035892438143491745
800,0.02785627171397209,,2.6666666666666667e-05,0.17777777777777778,0.0007111111111111111,0.5,0.5316169857978821,0.10996983200311661,0.36249232292175293,0.01609661616384983
