step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_ratio,selector_budget,selector_entropy
105400,0.03856626059859991,,8.567319172831607e-07,4.2836595864158036e-07,5.0,0.02,0.09742695465683937,0.0002907299658545526,0.0002464676081217476
105600,0.039812229573726654,,8.471454026063973e-07,4.2357270130319865e-07,5.0,0.02,0.12109221145510674,0.0018390054465271533,0.00017998046405409696
105800,0.04223869927227497,,8.376845714693071e-07,4.1884228573465353e-07,5.0,0.02,0.07566593959927559,0.0007219823255582014,6.247984515539429e-05
106000,0.045792341232299805,,8.283496939400304e-07,4.141748469700152e-07,5.0,0.02,0.11632185988128185,0.0004836532016270212,0.0003269747430749703
106200,0.035233141388744116,,8.191410364912425e-07,4.0957051824562124e-07,5.0,0.02,0.09716696944087744,0.001009992818808314,0.00019100934628113464
106400,0.04485176131129265,,8.100588619925527e-07,4.0502943099627636e-07,5.0,0.02,0.09887906908988953,0.003952567029045895,4.2017160239993245e-05
106600,0.04786339635029435,,8.01103429702997e-07,4.005517148514985e-07,5.0,0.02,0.08343055285513401,0.0009056902914323928,0.0004925383188947308
106800,0.05079440772533417,,7.92274995263638e-07,3.96137497631819e-07,5.0,0.02,0.11423552967607975,0.0016358960979232506,0.00012999202954233624
107000,0.03968604700639844,,7.835738106902682e-07,3.917869053451341e-07,5.0,0.02,0.1011731531471014,0.0007329116347136733,0.00013012496765441028
107200,0.03631467837840319,,7.750001243662164e-07,3.875000621831082e-07,5.0,0.02,0.08969564363360405,0.00034291737392777577,0.00019657412167362054
107400,0.036894979886710644,,7.665541810352541e-07,3.8327709051762703e-07,5.0,0.02,0.09459561295807362,9.834206684899982e-05,0.0001321708127761667
107600,0.03381074173375964,,7.582362217946138e-07,3.791181108973069e-07,5.0,0.02,0.08064901921898127,0.0009255164086425793,5.455509449348028e-05
107800,0.03908685268834233,,7.500464840881008e-07,3.750232420440504e-07,5.0,0.02,0.1343368124216795,0.0020882069541130477,4.734137269224448e-05
108000,0.030423940625041723,,7.41985201699324e-07,3.70992600849662e-07,5.0,0.02,0.11310538835823536,0.0008068129432103888,5.997226821818913e-05
108200,0.04748213291168213,,7.340526047450118e-07,3.670263023725059e-07,5.0,0.02,0.08013889566063881,0.0008238421396526974,0.0001280430394672294
108400,0.03054765472188592,,7.262489196684519e-07,3.6312445983422593e-07,5.0,0.02,0.09069584310054779,0.000163107364642201,9.648207606005599e-05
108600,0.04246624745428562,,7.185743692330221e-07,3.5928718461651106e-07,5.0,0.02,0.08379157353192568,0.0013164310421416303,0.0002510433596398798
108800,0.03331454610452056,,7.110291725158314e-07,3.555145862579157e-07,5.0,0.02,0.09895655512809753,0.0007098327910171065,0.000109238992081373
109000,0.033690547570586205,,7.036135449014717e-07,3.5180677245073584e-07,5.0,0.02,0.08589607570320368,0.00040285243682092187,0.00027338067593518645
109200,0.04612327693030238,,6.963276980758624e-07,3.481638490379312e-07,5.0,0.02,0.11253160052001476,0.0003634920508943651,0.00012502644767664606
109400,0.03406547149643302,,6.891718400202116e-07,3.445859200101058e-07,5.0,0.02,0.08915127255022526,0.0004736275868708617,0.00015344130815719836
109600,0.034647940658032894,,6.821461750050782e-07,3.410730875025391e-07,5.0,0.02,0.0818829732015729,0.0009928934159688652,0.00019502221766742878
109800,0.03416353091597557,,6.752509035845413e-07,3.3762545179227063e-07,5.0,0.02,0.09080571681261063,0.0007546326742158271,6.395220975718985e-05
110000,0.04370571346953511,,6.684862225904738e-07,3.342431112952369e-07,5.0,0.02,0.09502823650836945,0.001935488951858133,0.0004198442638880806
110200,0.04826160054653883,,6.618523251269261e-07,3.3092616256346306e-07,5.0,0.02,0.0868855849839747,0.0025048049301403807,9.555602719046874e-05
110400,0.05268081370741129,,6.553494005646102e-07,3.276747002823051e-07,5.0,0.02,0.0896502286195755,0.0005726456120385137,6.544138204844785e-05
110600,0.04256597859784961,,6.489776345354989e-07,3.2448881726774946e-07,5.0,0.02,0.08404691237956285,0.0005783360035138685,7.597772992085083e-05
110800,0.028577689081430435,,6.427372089275199e-07,3.2136860446375995e-07,5.0,0.02,0.08091225661337376,0.0007940853522114821,0.0001015650825593184
111000,0.05018295627087355,,6.366283018793719e-07,3.183141509396859e-07,5.0,0.02,0.06104923225939274,0.0016846485959831625,0.00011660903805932321
111200,0.03732150187715888,,6.306510877754325e-07,3.1532554388771624e-07,5.0,0.02,0.12554557621479034,0.0008503763929184061,5.130612498760456e-05
111400,0.033507526852190495,,6.248057372407829e-07,3.1240286862039143e-07,5.0,0.02,0.08341850340366364,0.00030439883266808465,0.0001583100142852345
111600,0.04598625283688307,,6.190924171363378e-07,3.095462085681689e-07,5.0,0.02,0.11748298071324825,0.002227892262453679,0.00032771179257906624
111800,0.039120872505009174,,6.13511290554083e-07,3.067556452770415e-07,5.0,0.02,0.10390141792595387,0.0007697322483011249,0.00013918114700572914
112000,0.03789407107979059,,6.080625168124161e-07,3.0403125840620806e-07,5.0,0.02,0.12313570454716682,0.0007407655793940648,0.0002771322710941604
112200,0.0496492013335228,,6.027462514516023e-07,3.0137312572580116e-07,5.0,0.02,0.07832473050802946,0.0015147220328799449,0.0003442354609433096
112400,0.030577475670725107,,5.975626462293331e-07,2.9878132311466657e-07,5.0,0.02,0.09823652915656567,1.1775305708283668e-05,3.390702249816968e-05
112600,0.04487498290836811,,5.925118491163936e-07,2.962559245581968e-07,5.0,0.02,0.10089157335460186,0.0029343806963879615,0.00010472976373421261
112800,0.04469034634530544,,5.875940042924392e-07,2.937970021462196e-07,5.0,0.02,0.08560508862137794,0.00039091823191483854,0.00013499786109605338
113000,0.03829646296799183,,5.828092521418808e-07,2.914046260709404e-07,5.0,0.02,0.09934201650321484,0.00011370389188414265,7.707490385655547e-05
113200,0.04192536510527134,,5.781577292498747e-07,2.8907886462493736e-07,5.0,0.02,0.08003637008368969,0.00044453661030274816,5.410093399405014e-05
113400,0.03325184341520071,,5.736395683984262e-07,2.868197841992131e-07,5.0,0.02,0.10111667308956385,0.0011744799339794554,6.800295636821829e-05
113600,0.051890235394239426,,5.69254898562598e-07,2.84627449281299e-07,5.0,0.02,0.10652815364301205,0.0017232047271136253,0.0003328445541228575
113800,0.04283194849267602,,5.650038449068292e-07,2.825019224534146e-07,5.0,0.02,0.07911049015820026,0.001231462784062387,0.0001419452132722654
114000,0.03572032880038023,,5.608865287813618e-07,2.804432643906809e-07,5.0,0.02,0.10770576633512974,0.0008647387039673049,0.00023761479087625048
114200,0.035970648750662804,,5.56903067718777e-07,2.784515338593885e-07,5.0,0.02,0.12468570657074451,0.001200109334604349,3.938443842343986e-05
114400,0.05179635202512145,,5.530535754306396e-07,2.765267877153198e-07,5.0,0.02,0.11407721415162086,0.000722904291251325,0.00015204549617919838
114600,0.0291551579721272,,5.493381618042519e-07,2.7466908090212594e-07,5.0,0.02,0.11919873766601086,0.0009548222869852907,0.00016366216004826128
114800,0.04375986894592643,,5.457569328995193e-07,2.7287846644975966e-07,5.0,0.02,0.12137540057301521,0.0009146029042312875,0.00025560751601005904
115000,0.03414034005254507,,5.423099909459179e-07,2.7115499547295895e-07,5.0,0.02,0.07303666602820158,0.0010783452125906479,7.625419266332756e-05
115200,0.04535312671214342,,5.389974343395813e-07,2.6949871716979064e-07,5.0,0.02,0.11881248839199543,0.0009465872244618367,0.00011198942956980318
115400,0.040985926520079374,,5.358193576404884e-07,2.679096788202442e-07,5.0,0.02,0.0988269243389368,0.0005540064403248834,0.0006970624890527688
115600,0.034659968223422766,,5.327758515697661e-07,2.6638792578488305e-07,5.0,0.02,0.1046665757894516,0.0003630677715591446,0.0002397610555817664
115800,0.03513311315327883,,5.298670030070978e-07,2.649335015035489e-07,5.0,0.02,0.1135103665292263,0.0008327304827844273,0.00010591873115117778
116000,0.03878127317875624,,5.270928949882458e-07,2.635464474941229e-07,5.0,0.02,0.10598401166498661,0.000715949115146941,0.00014391522017831448
116200,0.0437150071375072,,5.244536067026774e-07,2.622268033513387e-07,5.0,0.02,0.08346850425004959,0.0007158629865102739,3.9062382938936935e-05
116400,0.03521102573722601,,5.219492134913085e-07,2.6097460674565424e-07,5.0,0.02,0.11153383739292622,0.0005789583789521657,0.00015450294995389413
