step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.8448388576507568,,1.3333333333333333e-05,6.666666666666667e-06,5.0,0.02,0.5,0.22529394924640656,0.015698570758104324,0.17340900003910065,0.19419872760772705
400,0.6175843477249146,,2.6666666666666667e-05,1.3333333333333333e-05,5.0,0.02,0.5,0.19672368466854095,0.009355470538139343,0.050482943654060364,0.15350548923015594
600,0.3841344714164734,,4e-05,2e-05,5.0,0.02,0.5,0.07300334423780441,0.0007288195192813873,0.03016224503517151,0.07120554149150848
800,0.29487913846969604,,5.333333333333333e-05,2.6666666666666667e-05,5.0,0.02,0.5,0.12354299426078796,0.0005542724975384772,0.028647994622588158,0.1149161159992218
1000,0.34395503997802734,0.8176285982131958,6.666666666666667e-05,3.3333333333333335e-05,5.0,0.02,0.5,0.15289510786533356,0.002797892317175865,0.0349612720310688,0.12320570647716522
1200,0.40401890873908997,,8e-05,4e-05,5.0,0.02,0.5,0.20587097108364105,0.011208661831915379,0.06333716213703156,0.09034454077482224
1400,0.3369951844215393,,9.333333333333334e-05,4.666666666666667e-05,5.0,0.02,0.5,0.10567880421876907,3.224880128982477e-05,0.06244348734617233,0.08944776654243469
1600,0.3305356502532959,,9.999956610162866e-05,4.999978305081433e-05,5.0,0.02,0.5,0.10990333557128906,9.807602327782661e-05,0.06911037117242813,0.11223821341991425
1800,0.31419873237609863,,9.999609496222017e-05,4.9998047481110086e-05,5.0,0.02,0.5,0.13294051587581635,0.0010850775288417935,0.10038459300994873,0.07509403675794601
2000,0.2956989109516144,0.4268144279718399,9.998915293706463e-05,4.9994576468532316e-05,5.0,0.02,0.5,0.16251330077648163,0.003907912410795689,0.15460878610610962,0.16698141396045685
2200,0.2643304169178009,,9.997874053346641e-05,4.998937026673321e-05,5.0,0.02,0.5,0.11164101958274841,0.00013551329902838916,0.07907694578170776,0.18587851524353027
2400,0.1774359494447708,,9.996485851233572e-05,4.998242925616786e-05,5.0,0.02,0.5,0.15230949223041534,0.002736282767727971,0.1316559910774231,0.07143869251012802
2600,0.293806791305542,,9.994750788813297e-05,4.9973753944066484e-05,5.0,0.02,0.5,0.06946343183517456,0.0009324820712208748,0.038711193948984146,0.13139000535011292
2800,0.1968654841184616,,9.992668992879474e-05,4.996334496439737e-05,5.0,0.02,0.5,0.10297925025224686,8.875923413143028e-06,0.06950481981039047,0.0855812355875969
