step,total_loss,val_loss,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.020985618233680725,,6.666666666666667e-06,0.044444444444444446,0.00017777777777777779,0.5,0.22199957072734833,0.00048398098442703485,0.3693324327468872,0.04179689660668373
400,0.01738079823553562,,1.3333333333333333e-05,0.08888888888888889,0.00035555555555555557,0.5,0.27195271849632263,0.005177193321287632,0.329389363527298,0.03360697254538536
600,0.036708105355501175,,2e-05,0.13333333333333333,0.0005333333333333334,0.5,0.6445986032485962,0.1976679265499115,0.46227648854255676,0.020211664959788322
800,0.022131554782390594,,2.6666666666666667e-05,0.17777777777777778,0.0007111111111111111,0.5,0.3858531713485718,0.034541402012109756,0.34321141242980957,0.031493596732616425
