step,loss,ppl
200,3.3113017082214355,27.42079612623021
400,2.594942569732666,13.395818013906444
600,2.612095355987549,13.62757557875044
800,1.9971081018447876,7.367718569081607
1000,1.8977680206298828,6.670988305096858
1200,2.4806644916534424,11.94920192529797
1400,2.1001131534576416,8.167093995209534
1600,1.9362428188323975,6.932654737377187
1800,1.9859129190444946,7.285695600616759
2000,2.188502311706543,8.921840966771581
2200,1.9764193296432495,7.21685548501374
2400,1.7900724411010742,5.989886364630453
2600,2.1077983379364014,8.230101420951208
2800,2.2938711643218994,9.91323927565652
3000,1.9553302526474,7.066252286921777
3200,1.9722143411636353,7.18657240546246
3400,1.7277543544769287,5.628001211285227
3600,2.0578200817108154,7.82888486588966
3800,1.808367133140564,6.100478026693231
4000,1.7676870822906494,5.857290251898539
4200,1.7498244047164917,5.753592283630024
4400,1.661965250968933,5.269656873121428
4600,1.6813372373580933,5.3727357925062735
4800,1.6577801704406738,5.247649019193693
5000,1.5441521406173706,4.683998570827036
5200,1.43831467628479,4.213588568930574
5400,1.5818893909454346,4.864137391853945
5600,1.3481813669204712,3.8504166642350044
5800,1.5656455755233765,4.785763510617001
6000,1.4471848011016846,4.251129877367087
6200,1.3487310409545898,3.8525337200878833
6400,1.2584608793258667,3.519999611799852
6600,1.1173046827316284,3.0566045715156007
6800,1.3877813816070557,4.00595250660143
7000,1.1422699689865112,3.133874094244251
7200,1.2985694408416748,3.6640512744839215
7400,1.2658206224441528,3.5460014708532217
7600,1.2043781280517578,3.3346846862686084
7800,1.0761991739273071,2.933508579160989
8000,1.0581810474395752,2.881125589379711
8200,0.9515208005905151,2.589644999768194
8400,1.0256438255310059,2.7888904415460014
8600,1.0848335027694702,2.958947121223276
8800,1.0152696371078491,2.7601075244598836
9000,0.863205075263977,2.370746952360818
9200,0.8990857005119324,2.4573553250230105
9400,0.8695446252822876,2.3858241621128244
9600,0.7802048921585083,2.1819192778525043
9800,0.8260215520858765,2.2842130164400185
10000,0.7319783568382263,2.0791899210880467
10200,0.7049236297607422,2.023692129168604
10400,0.7110884785652161,2.036206419892684
10600,0.6514366269111633,1.918294724204614
10800,0.764380693435669,2.147663900360542
11000,0.7527086138725281,2.1227419250216983
11200,0.6388393044471741,1.8942809193711632
11400,0.7287617325782776,2.072512693170744
11600,0.6004914045333862,1.8230144178666103
11800,0.5295472741127014,1.698163332062602
12000,0.6930524706840515,1.99981058921789
12200,0.5927953720092773,1.8090382889685828
12400,0.6568087935447693,1.928627853911409
12600,0.6176448464393616,1.8545551323076377
12800,0.6354697346687317,1.887908749398186
13000,0.6297298669815063,1.8771034431511993
13200,0.6431140303611755,1.9023957831577607
13400,0.6056452393531799,1.8324341861646634
13600,0.5440002679824829,1.7228850977138517
13800,0.6060757040977478,1.8332231542778439
14000,0.575744092464447,1.778453368444626
14200,0.588857889175415,1.8019292368301068
14400,0.49899935722351074,1.6470723148156448
14600,0.474732905626297,1.607584763293081
14800,0.5286955237388611,1.6967175366254856
15000,0.5007286071777344,1.6499229785853766
15200,0.5224637985229492,1.6861769363419734
15400,0.473628431558609,1.6058102077660872
15600,0.4551175832748413,1.576358725558463
15800,0.45852547883987427,1.5817399555951612
16000,0.5236105918884277,1.6881117420647322
16200,0.44703665375709534,1.563671612675504
16400,0.49855807423591614,1.646345650167944
16600,0.4778822660446167,1.6126556078830585
16800,0.41535845398902893,1.5149136702267334
17000,0.4382339119911194,1.5499674209853338
17200,0.4583258330821991,1.5814241994440181
17400,0.428669273853302,1.5352132152763993
17600,0.40941235423088074,1.5059325701384896
17800,0.37534913420677185,1.4554994905797918
18000,0.4094178080558777,1.505940783253581
18200,0.4010382294654846,1.4933743583121832
18400,0.40170571208000183,1.4943714924811622
18600,0.4161853492259979,1.5161668631833
18800,0.39889776706695557,1.4901812652182571
19000,0.4156705439090729,1.5153865332970087
19200,0.4024747908115387,1.4955212238733544
19400,0.3996846675872803,1.491354351121657
19600,0.37767353653907776,1.458886591958539
19800,0.3652069568634033,1.4408121632615913
20000,0.35858556628227234,1.4313034982077324
20200,0.33183205127716064,1.3935187891571903
20400,0.3349049389362335,1.3978075018384837
20600,0.350673109292984,1.4200230576925381
20800,0.33880776166915894,1.4032735563154939
21000,0.35573500394821167,1.4272292880210007
21200,0.3615172207355499,1.4355057422362387
21400,0.3832337260246277,1.4670208709576336
21600,0.3270612359046936,1.3868864018235798
21800,0.3401193916797638,1.4051153396301335
22000,0.32459279894828796,1.38346718197546
22200,0.3739846646785736,1.4535148601683598
22400,0.2848775386810303,1.3295991936802578
22600,0.36241841316223145,1.4367999922361554
22800,0.3169691264629364,1.3729601831340155
23000,0.39296844601631165,1.481371645415054
23200,0.3699149787425995,1.4476115316784128
23400,0.3443375825881958,1.411054902679536
23600,0.29146456718444824,1.3383862098585744
23800,0.31570738554000854,1.3712289554954586
24000,0.3133526146411896,1.3680038241684018
24200,0.3872878849506378,1.4729804791528736
24400,0.30412057042121887,1.3554324713019519
24600,0.33352896571159363,1.3958854787721389
24800,0.29902350902557373,1.3485413259927814
25000,0.29380422830581665,1.3415212460702228
25200,0.31916698813438416,1.375981078235668
25400,0.3241017162799835,1.3827879520129054
25600,0.2847194969654083,1.329389078146546
25800,0.3059940040111542,1.3579741641255405
26000,0.2911037802696228,1.3379034247235913
26200,0.29549747705459595,1.3437946994594623
26400,0.291921466588974,1.3389978574409518
26600,0.2675296664237976,1.3067323953380985
26800,0.2981184124946594,1.3473213181125667
27000,0.24535636603832245,1.2780766951872669
27200,0.2866131067276001,1.3319088072215346
27400,0.2972087264060974,1.3460962359572364
27600,0.2985129654407501,1.347853012591873
27800,0.2385398894548416,1.269394340474731
28000,0.26500409841537476,1.3034363177908668
28200,0.2647162973880768,1.3030612414558553
28400,0.2672030031681061,1.3063056035919056
28600,0.22564315795898438,1.2531284165825363
28800,0.24115177989006042,1.2727141930694288
29000,0.2888364791870117,1.334873431092219
29200,0.25369173288345337,1.2887744562407812
29400,0.2219279408454895,1.2484814101079877
29600,0.2570343017578125,1.2930894812408462
29800,0.2608516812324524,1.2980351281851532
30000,0.32008466124534607,1.3772443586229255
30200,0.23830612003803253,1.2690976295823748
30400,0.2564701437950134,1.2923601802532154
30600,0.23517099022865295,1.2651250742650217
30800,0.21118664741516113,1.2351428697722353
31000,0.22745734453201294,1.2554038887716272
31200,0.20882229506969452,1.2322260064362494
31400,0.19368058443069458,1.2137085436291066
31600,0.2194151133298874,1.2453481300128755
31800,0.27503275871276855,1.3165738034242647
32000,0.19249820709228516,1.2122743302094963
32200,0.25821566581726074,1.294617993366511
32400,0.2607486844062805,1.2979014415714574
32600,0.22344328463077545,1.2503747228013558
32800,0.22369074821472168,1.2506841833000588
33000,0.20340995490550995,1.2255747956742236
33200,0.1966661512851715,1.2173375662771868
33400,0.17633655667304993,1.1928394491780485
33600,0.20170257985591888,1.2234840651851138
33800,0.20177268981933594,1.2235698466151967
34000,0.23586493730545044,1.2660033088009919
34200,0.1981254518032074,1.2191153244445003
34400,0.21006202697753906,1.2337545836513009
34600,0.23134742677211761,1.260297024322805
34800,0.2380995899438858,1.2688355497940689
35000,0.2345801144838333,1.2643777633501647
35200,0.16192717850208282,1.175774616534586
35400,0.15495818853378296,1.167609140634366
35600,0.19856198132038116,1.2196476204414637
35800,0.19659118354320526,1.2172463086493641
36000,0.23703014850616455,1.267479329807651
36200,0.16698214411735535,1.1817331642312752
36400,0.22685350477695465,1.254646054823092
36600,0.15517468750476837,1.167861954177775
36800,0.22167962789535522,1.2481714344929284
37000,0.18021757900714874,1.1974778808275837
37200,0.20307186245918274,1.225160508131088
37400,0.18718570470809937,1.2058511965030336
37600,0.17844386398792267,1.1953557788835698
37800,0.20136411488056183,1.2230700287535092
38000,0.17850984632968903,1.1954346538592535
38200,0.20476461946964264,1.2272361634645876
38400,0.18473508954048157,1.2028997371935544
38600,0.15755422413349152,1.170644233429912
38800,0.15541218221187592,1.1681393481490208
39000,0.18387001752853394,1.201859592262729
39200,0.14287564158439636,1.1535863345766955
39400,0.13234101235866547,1.141497517663641
39600,0.19314704835414886,1.2130611590515397
39800,0.14539116621017456,1.156491862340456
40000,0.14052222669124603,1.1508746594162866
40200,0.17060354351997375,1.186020450308417
40400,0.15401595830917358,1.1665095021491934
40600,0.1558641940355301,1.1686674802980557
40800,0.15785469114780426,1.1709960262559767
41000,0.1298055499792099,1.1386069596504247
41200,0.153238907456398,1.1656034170284773
41400,0.11689569801092148,1.12400218791244
41600,0.129738450050354,1.1385305617676122
41800,0.12173644453287125,1.129456388144035
42000,0.1347951740026474,1.1443023774700842
42200,0.17144092917442322,1.1870140227629902
42400,0.12174902856349945,1.129470601347246
42600,0.13456352055072784,1.144037326575466
42800,0.14729861915111542,1.158699921359307
43000,0.1405048370361328,1.1508546462768923
43200,0.14615657925605774,1.1573773951553006
43400,0.18216082453727722,1.1998071367920717
43600,0.11032050102949142,1.1166358960683271
43800,0.1323128491640091,1.1414653698995454
44000,0.11238317936658859,1.1189415338186208
44200,0.1363222897052765,1.1460511945824456
