step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.7640864253044128,,1.3333333333333333e-05,,5.0,0.02,0.5,0.05639073625206947,0.0,0.0,0.0
400,0.7490119934082031,,2.6666666666666667e-05,,5.0,0.02,0.5,0.05829765275120735,0.0,0.0,0.0
600,0.4698238670825958,,4e-05,,5.0,0.02,0.5,0.061402540653944016,0.0,0.0,0.0
800,0.4032811224460602,,5.333333333333333e-05,,5.0,0.02,0.5,0.06138986349105835,0.0,0.0,0.0
1000,0.27931487560272217,0.7634341478347778,6.666666666666667e-05,,5.0,0.02,0.5,0.06032274663448334,0.0,0.0,0.0
1200,0.254036009311676,,8e-05,,5.0,0.02,0.5,0.05763304978609085,0.0,0.0,0.0
1400,0.4982333779335022,,9.333333333333334e-05,,5.0,0.02,0.5,0.062428250908851624,0.0,0.0,0.0
1600,0.17065438628196716,,9.999956610162866e-05,,5.0,0.02,0.5,0.06377466022968292,0.0,0.0,0.0
1800,0.359287828207016,,9.999609496222017e-05,,5.0,0.02,0.5,0.06554120033979416,0.0,0.0,0.0
2000,0.23350170254707336,0.29765739291906357,9.998915293706463e-05,,5.0,0.02,0.5,0.05839915946125984,0.0,0.0,0.0
2200,0.28767478466033936,,9.997874053346641e-05,,5.0,0.02,0.5,0.05613885447382927,0.0,0.0,0.0
2400,0.18288883566856384,,9.996485851233572e-05,,5.0,0.02,0.5,0.06476428359746933,0.0,0.0,0.0
2600,0.18584191799163818,,9.994750788813297e-05,,5.0,0.02,0.5,0.055208344012498856,0.0,0.0,0.0
2800,0.13096512854099274,,9.992668992879474e-05,,5.0,0.02,0.5,0.054105158895254135,0.0,0.0,0.0
3000,0.1659328192472458,0.17462455332279206,9.990240615564099e-05,,5.0,0.02,0.5,0.06237351521849632,0.0,0.0,0.0
3200,0.11287077516317368,,9.987465834326395e-05,,5.0,0.02,0.5,0.057796232402324677,0.0,0.0,0.0
3400,0.10330565273761749,,9.98434485193985e-05,,5.0,0.02,0.5,0.05800538882613182,0.0,0.0,0.0
3600,0.08076813817024231,,9.980877896477386e-05,,5.0,0.02,0.5,0.050106097012758255,0.0,0.0,0.0
3800,0.09980546683073044,,9.977065221294701e-05,,5.0,0.02,0.5,0.061551254242658615,0.0,0.0,0.0
4000,0.16101358830928802,0.1499897338449955,9.972907105011755e-05,,5.0,0.02,0.5,0.062290258705616,0.0,0.0,0.0
4200,0.10797921568155289,,9.968403851492401e-05,,5.0,0.02,0.5,0.05996626988053322,0.0,0.0,0.0
4400,0.20302392542362213,,9.963555789822187e-05,,5.0,0.02,0.5,0.06493598222732544,0.0,0.0,0.0
4600,0.1365598738193512,,9.958363274284309e-05,,5.0,0.02,0.5,0.06056734174489975,0.0,0.0,0.0
4800,0.11155661195516586,,9.952826684333709e-05,,5.0,0.02,0.5,0.06405305862426758,0.0,0.0,0.0
5000,0.14603982865810394,0.1224192164838314,9.94694642456936e-05,,5.0,0.02,0.5,0.05893081799149513,0.0,0.0,0.0
5200,0.09816353768110275,,9.940722924704692e-05,,5.0,0.02,0.5,0.055618155747652054,0.0,0.0,0.0
5400,0.18940094113349915,,9.934156639536187e-05,,5.0,0.02,0.5,0.0613512247800827,0.0,0.0,0.0
5600,0.14079713821411133,,9.927248048910148e-05,,5.0,0.02,0.5,0.06234012544155121,0.0,0.0,0.0
5800,0.15950298309326172,,9.919997657687633e-05,,5.0,0.02,0.5,0.05985504016280174,0.0,0.0,0.0
