step,recon_loss,vq_loss,vel_loss,total_loss
200,0.6418572068214417,0.0125356235075742,0.09731720387935638,0.7030514180660248
400,0.39919476956129074,0.028832497540861368,0.05389849469065666,0.45497652143239975
600,0.34451986849308014,0.04672245588153601,0.06084506772458553,0.42166487127542496
800,0.2423066645860672,0.0486693661659956,0.03578305430710316,0.30886755883693695
1000,0.25038691237568855,0.060267179273068905,0.037287911400198936,0.3292980417609215
1200,0.21039960533380508,0.060488407500088215,0.0357235549017787,0.2887497954070568
1400,0.22781678661704063,0.06789582781493664,0.09651508554816246,0.3439701497554779
1600,0.19814716465771198,0.06547301542013884,0.07252288656309247,0.29988162592053413
1800,0.16528544947504997,0.059572234749794006,0.04588021943345666,0.24779779836535454
2000,0.15873849019408226,0.060942952521145344,0.022834554314613342,0.2310987152159214
2200,0.18787412531673908,0.06019556801766157,0.06595443561673164,0.28104691952466965
2400,0.1615242399275303,0.060759665444493294,0.03836368443444371,0.2414657473564148
2600,0.15562113374471664,0.06406342145055532,0.059450751170516014,0.24940993264317513
2800,0.12003970332443714,0.05191043205559254,0.02999117784202099,0.18694572150707245
3000,0.14528603479266167,0.05930682737380266,0.03899140935391188,0.22408856824040413
3200,0.12544960156083107,0.0569486478343606,0.03261718526482582,0.19870684668421745
3400,0.12470588088035583,0.050577351823449135,0.031572317238897085,0.19106938689947128
3600,0.12898865528404713,0.060676759108901024,0.0345782854128629,0.20695455744862556
3800,0.10714647360146046,0.04695888049900532,0.025528184603899717,0.16686944663524628
4000,0.12966811656951904,0.05803750269114971,0.03596718888729811,0.2056892178952694
4200,0.13400025852024555,0.06080103758722544,0.042780919931828976,0.21619175747036934
4400,0.11094189994037151,0.05287333112210035,0.0377958370372653,0.18271315097808838
4600,0.12597191333770752,0.057974676601588726,0.032403972931206226,0.2001485824584961
4800,0.10463863983750343,0.04734496958553791,0.023800643160939217,0.16388393007218838
5000,0.10926582850515842,0.05000072903931141,0.03697692230343819,0.17775502428412437
5200,0.11163586936891079,0.0548833180218935,0.03475795313715935,0.18389815837144852
5400,0.10222135297954082,0.05153494235128164,0.021222572308033705,0.16436758264899254
5600,0.10691600665450096,0.056073213927447796,0.033630316611379385,0.17980437725782394
5800,0.09087366610765457,0.04282648768275976,0.02186498511582613,0.14463264681398869
6000,0.11319860257208347,0.05581153742969036,0.03255895571783185,0.18528962135314941
6200,0.1041480004787445,0.051038107834756374,0.02825389988720417,0.16931305453181267
6400,0.08442396856844425,0.04201549291610718,0.018469675444066525,0.13567429594695568
6600,0.08604462631046772,0.04125629924237728,0.03094021836295724,0.14277103915810585
6800,0.08470364660024643,0.03895935509353876,0.015763162868097425,0.1315445825457573
7000,0.07836419064551592,0.04070998542010784,0.021776781184598804,0.12996256910264492
7200,0.09938735142350197,0.047904398292303085,0.022247313987463713,0.15841540321707726
7400,0.07909215986728668,0.04246963653713465,0.01453962316736579,0.12883161008358002
7600,0.08911103289574385,0.04134736815467477,0.027530159568414092,0.14422347955405712
7800,0.07921039126813412,0.03853139653801918,0.01940305926837027,0.1274433210492134
8000,0.08473643846809864,0.044118188321590424,0.0192548546474427,0.13848205469548702
8200,0.07632051035761833,0.03950997442007065,0.02047597337514162,0.12606846913695335
