step,total_loss,val_loss,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.022509561851620674,,6.666666666666667e-06,0.044444444444444446,0.00017777777777777779,0.5,0.18384335935115814,0.0002610371448099613,0.35926353931427,0.04486818239092827
400,0.014905601739883423,,1.3333333333333333e-05,0.08888888888888889,0.00035555555555555557,0.5,0.1059676930308342,0.008842075243592262,0.19600491225719452,0.028099898248910904
600,0.0186363086104393,,2e-05,0.13333333333333333,0.0005333333333333334,0.5,0.09854821115732193,0.010292465798556805,0.180727019906044,0.0343351848423481
800,0.01082642748951912,,2.6666666666666667e-05,0.17777777777777778,0.0007111111111111111,0.5,0.1734887957572937,0.0007028441177681088,0.18207818269729614,0.021143998950719833
1000,0.01294796634465456,0.053545930236577985,3.3333333333333335e-05,0.22222222222222224,0.0008888888888888889,0.5,0.06712653487920761,0.01765535958111286,0.07443534582853317,0.01791677623987198
1200,0.010992961935698986,,4e-05,0.26666666666666666,0.0010666666666666667,0.5,0.12292454391717911,0.005940626375377178,0.08311637490987778,0.018640274181962013
