step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_ratio,selector_budget,selector_entropy
100200,0.05191971827298403,,1.1491272412394435e-06,5.745636206197217e-07,5.0,0.02,0.09783535823225975,0.0009462019515922293,0.00011305539828754263
100400,0.046851055696606636,,1.1363793320239162e-06,5.681896660119581e-07,5.0,0.02,0.10316682886332273,0.002270038032293087,0.00028407021272869315
100600,0.04837396461516619,,1.123748849899154e-06,5.61874424949577e-07,5.0,0.02,0.09542377851903439,0.0015175622756942175,9.675068736214598e-05
100800,0.04579525999724865,,1.1112361554139003e-06,5.556180777069502e-07,5.0,0.02,0.08961363881826401,0.00039011210537864827,0.0002022550770561793
101000,0.03962469659745693,,1.0988416057545454e-06,5.494208028772727e-07,5.0,0.02,0.12431256659328938,0.002132399782453831,0.00015583036747557344
101200,0.04394075833261013,,1.086565554734923e-06,5.432827773674615e-07,5.0,0.02,0.11474882252514362,0.0006127111410023645,0.0001128764552049688
101400,0.03731744084507227,,1.0744083527862184e-06,5.372041763931092e-07,5.0,0.02,0.06857265066355467,0.0014051547939288866,0.00015346485906775342
101600,0.03543385863304138,,1.0623703469469572e-06,5.311851734734786e-07,5.0,0.02,0.09842738788574934,0.0009330694210802903,0.00035589118851930834
101800,0.036201986484229565,,1.0504518808531041e-06,5.252259404265521e-07,5.0,0.02,0.07509198412299156,0.0007627771515217319,0.00014630115447289427
102000,0.03865577932447195,,1.0386532947282496e-06,5.193266473641248e-07,5.0,0.02,0.06524816155433655,0.0016594518888268794,0.00019948440785810817
102200,0.0393900559283793,,1.026974925373904e-06,5.13487462686952e-07,5.0,0.02,0.08842583652585745,0.0012813664088753285,0.0003797078857132874
102400,0.0325055425055325,,1.0154171061598752e-06,5.077085530799376e-07,5.0,0.02,0.09382009319961071,0.00033396589788026176,0.00014888447958583129
102600,0.04210060276091099,,1.0039801670147572e-06,5.019900835073786e-07,5.0,0.02,0.09184598736464977,0.0012966111171408556,6.214881705091102e-05
102800,0.03197778807953,,9.92664434416514e-07,4.96332217208257e-07,5.0,0.02,0.07513684127479792,0.0010971298533911655,4.1602348574087955e-05
103000,0.04625599458813667,,9.81470231383152e-07,4.90735115691576e-07,5.0,0.02,0.1147677842527628,0.0002775259792997531,0.00011620272471191129
103200,0.0444670133292675,,9.703978774635096e-07,4.851989387317548e-07,5.0,0.02,0.12329308688640594,0.0033079202994485968,0.0001887154230644228
103400,0.026808316819369793,,9.594476887281263e-07,4.797238443640632e-07,5.0,0.02,0.0866248570382595,0.00031175179526599095,9.867476182989776e-05
103600,0.04917071666568518,,9.486199777602254e-07,4.743099888801127e-07,5.0,0.02,0.09574569948017597,0.004070563812604178,1.4854183973511681e-05
103800,0.04064822569489479,,9.37915053646788e-07,4.68957526823394e-07,5.0,0.02,0.11397050134837627,0.0024839047723617114,1.7351828773826128e-05
104000,0.04175007436424494,,9.273332219697343e-07,4.6366661098486713e-07,5.0,0.02,0.09159343969076872,0.0009795288315217476,0.00016705027132957184
