step,total_loss,val_loss,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.022687513381242752,,6.666666666666667e-06,0.044444444444444446,0.00017777777777777779,0.5,0.22597768902778625,0.000674840179271996,0.3921043276786804,0.04517562687397003
400,0.019727349281311035,,1.3333333333333333e-05,0.08888888888888889,0.00035555555555555557,0.5,0.36886459589004517,0.028515251353383064,0.4613691568374634,0.03405723720788956
600,0.01657312922179699,,2e-05,0.13333333333333333,0.0005333333333333334,0.5,0.19724304974079132,7.600791377626592e-06,0.22924184799194336,0.032899707555770874
800,0.016679706051945686,,2.6666666666666667e-05,0.17777777777777778,0.0007111111111111111,0.5,0.2878703474998474,0.007721197325736284,0.10035765171051025,0.03047136776149273
