step,total_loss,val_loss,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.01640741340816021,,6.666666666666667e-06,0.044444444444444446,0.00017777777777777779,0.5,0.16411466896533966,0.0012877571862190962,0.2864428460597992,0.03259851410984993
400,0.031592439860105515,,1.3333333333333333e-05,0.08888888888888889,0.00035555555555555557,0.5,0.35538846254348755,0.024145573377609253,0.46376532316207886,0.058562543243169785
600,0.0376005545258522,,2e-05,0.13333333333333333,0.0005333333333333334,0.5,0.6057260632514954,0.16461364924907684,0.4466661810874939,0.030827688053250313
800,0.030479947105050087,,2.6666666666666667e-05,0.17777777777777778,0.0007111111111111111,0.5,0.43816882371902466,0.056724388152360916,0.3098613917827606,0.0403505302965641
1000,0.023544248193502426,0.10676612332463264,3.3333333333333335e-05,0.22222222222222224,0.0008888888888888889,0.5,0.4441490173339844,0.05960874259471893,0.311389297246933,0.020042141899466515
1200,0.019847190007567406,,4e-05,0.26666666666666666,0.0010666666666666667,0.5,0.05378679931163788,0.021378301084041595,0.05034162104129791,0.028185224160552025
1400,0.019083179533481598,,4.666666666666667e-05,0.3111111111111111,0.0012444444444444445,0.5,0.09983959794044495,0.01003210712224245,0.041847169399261475,0.03182000666856766
1600,0.014311347156763077,,4.999978305081433e-05,0.35555555555555557,0.0014222222222222223,0.5,0.06974360346794128,0.01696673035621643,0.052147138863801956,0.01640913262963295
1800,0.02583623304963112,,4.9998047481110086e-05,0.4,0.0016,0.5,0.016490034759044647,0.0336759127676487,5.003736077924259e-05,0.024731572717428207
2000,0.0271992739289999,0.14953026697039604,4.9994576468532316e-05,0.4444444444444445,0.0017777777777777779,0.5,0.018108293414115906,0.03308459371328354,4.7117253416217864e-05,0.02498985268175602
2200,0.02711108699440956,,4.998937026673321e-05,0.48888888888888893,0.001955555555555556,0.5,0.030424121767282486,0.028755981475114822,0.019951365888118744,0.02602718025445938
2400,0.020115043967962265,,4.998242925616786e-05,0.5333333333333333,0.0021333333333333334,0.5,0.09934331476688385,0.010131768882274628,0.26176151633262634,0.0283060185611248
2600,0.019176531583070755,,4.9973753944066484e-05,0.5777777777777777,0.002311111111111111,0.5,0.11240266263484955,0.0076732938177883625,0.30486613512039185,0.028076987713575363
2800,0.018207300454378128,,4.996334496439737e-05,0.6222222222222222,0.002488888888888889,0.5,0.11296796053647995,0.007574576418846846,0.3160662055015564,0.025415152311325073
3000,0.01995600201189518,0.15946254581212999,4.995120307782049e-05,0.6666666666666666,0.0026666666666666666,0.5,0.11551710218191147,0.007137360516935587,0.3133293092250824,0.028724433854222298
3200,0.0193079374730587,,4.9937329171631975e-05,0.7111111111111111,0.0028444444444444446,0.5,0.11715221405029297,0.006863756105303764,0.32346877455711365,0.027013909071683884
3400,0.019761959090828896,,4.992172425969925e-05,0.7555555555555555,0.003022222222222222,0.5,0.11882384866476059,0.006589568220078945,0.3264290690422058,0.02759326621890068
3600,0.020618554204702377,,4.990438948238693e-05,0.8,0.0032,0.5,0.11627919971942902,0.007009172812104225,0.3180820941925049,0.02798670530319214
3800,0.02103155292570591,,4.9885326106473505e-05,0.8444444444444444,0.003377777777777778,0.5,0.12937802076339722,0.004987464286386967,0.3452235460281372,0.031307656317949295
4000,0.02136707864701748,0.10773896872997284,4.9864535525058776e-05,0.888888888888889,0.0035555555555555557,0.5,0.13199320435523987,0.004624924622476101,0.35003340244293213,0.03202294185757637
4200,0.02598632499575615,,4.984201925746201e-05,0.9333333333333333,0.0037333333333333337,0.5,0.13474954664707184,0.004257622174918652,0.33135467767715454,0.041550975292921066
4400,0.022552210837602615,,4.981777894911094e-05,0.9777777777777779,0.003911111111111112,0.5,0.13992434740066528,0.003609084291383624,0.36050695180892944,0.035226691514253616
4600,0.021659789606928825,,4.9791816371421546e-05,1.0222222222222224,0.004088888888888889,0.5,0.14240550994873047,0.0033171256072819233,0.37419578433036804,0.03347780928015709
4800,0.02141861617565155,,4.976413342166854e-05,1.0666666666666667,0.004266666666666667,0.5,0.13866549730300903,0.0037619215436279774,0.3635851740837097,0.031709205359220505
5000,0.02181457355618477,0.06560142040252685,4.97347321228468e-05,1.1111111111111112,0.0044444444444444444,0.5,0.1439552903175354,0.0031410097144544125,0.37828418612480164,0.033286597579717636
5200,0.02145651914179325,,4.970361462352346e-05,1.1555555555555554,0.004622222222222222,0.5,0.14496484398841858,0.0030288686975836754,0.3833959102630615,0.03236870467662811
5400,0.022455910220742226,,4.9670783197680934e-05,1.2,0.0048,0.5,0.14322476089000702,0.003223428037017584,0.37567421793937683,0.03356911987066269
5600,0.021883156150579453,,4.963624024455074e-05,1.2444444444444445,0.004977777777777778,0.5,0.13808324933052063,0.0038336843717843294,0.3704531192779541,0.030536632984876633
5800,0.024065807461738586,,4.9599988288438164e-05,1.2888888888888888,0.005155555555555556,0.5,0.15557761490345,0.001973348669707775,0.3930460214614868,0.0389920175075531
6000,0.023878127336502075,0.047644376382231714,4.9562029978537804e-05,1.3333333333333333,0.005333333333333333,0.5,0.1548101305961609,0.0020421245135366917,0.3934551775455475,0.03811373561620712
6200,0.023307688534259796,,4.9522368088739953e-05,1.3777777777777778,0.005511111111111112,0.5,0.15190857648849487,0.0023127852473407984,0.3918934166431427,0.035922832787036896
6400,0.022678133100271225,,4.948100551742789e-05,1.4222222222222223,0.005688888888888889,0.5,0.14711150527000427,0.0027971931267529726,0.3868470788002014,0.03299834579229355
6600,0.02485513873398304,,4.94379452872661e-05,1.4666666666666668,0.005866666666666667,0.5,0.15486837923526764,0.002036863472312689,0.39089375734329224,0.03914899006485939
6800,0.023845408111810684,,4.939319054497937e-05,1.511111111111111,0.006044444444444444,0.5,0.15072587132453918,0.002427940024062991,0.38757091760635376,0.03566773980855942
7000,0.022977087646722794,0.04096383266150951,4.9346744561122844e-05,1.5555555555555556,0.006222222222222223,0.5,0.15074610710144043,0.002425946295261383,0.3933412730693817,0.033511873334646225
7200,0.02398023009300232,,4.9298610729842974e-05,1.6,0.0064,0.5,0.15376117825508118,0.0021380288526415825,0.3963571786880493,0.03604539483785629
7400,0.023084498941898346,,4.924879256862956e-05,1.6444444444444444,0.006577777777777778,0.5,0.15221460163593292,0.0022834446281194687,0.39942052960395813,0.0334044024348259
7600,0.024144116789102554,,4.9197293718058654e-05,1.6888888888888889,0.006755555555555556,0.5,0.1544552445411682,0.002074324991554022,0.39856845140457153,0.03589652106165886
7800,0.024898678064346313,,4.9144117941526516e-05,1.7333333333333334,0.006933333333333334,0.5,0.15950803458690643,0.001639599446207285,0.4045567810535431,0.038503557443618774
8000,0.024675410240888596,0.03786721415817738,4.9089269124974615e-05,1.777777777777778,0.0071111111111111115,0.5,0.15645435452461243,0.0018962235189974308,0.40098661184310913,0.03690577298402786
8200,0.0249320175498724,,4.903275127660563e-05,1.8222222222222224,0.007288888888888889,0.5,0.15768371522426605,0.0017906682332977653,0.4026348888874054,0.037468522787094116
8400,0.025410909205675125,,4.897456852659059e-05,1.8666666666666667,0.0074666666666666675,0.5,0.15630298852920532,0.0019094290910288692,0.398385614156723,0.037744056433439255
8600,0.024425994604825974,,4.8914725126766974e-05,1.9111111111111112,0.007644444444444445,0.5,0.1581457406282425,0.0017517792293801904,0.4079175293445587,0.03591969236731529
8800,0.02449336275458336,,4.885322545032808e-05,1.9555555555555557,0.007822222222222223,0.5,0.15751387178897858,0.0018050713697448373,0.4050312936306,0.03559040278196335
9000,0.02514949068427086,0.03653925359249115,4.879007399150338e-05,2.0,0.008,0.5,0.15202468633651733,0.0023016310296952724,0.39523789286613464,0.03476865217089653
